link
https://shopee.vn/Samsung-Galaxy-S25-12GB-256GB-Ch%C3%ADnh-H%C3%A3ng-i.645499489.28974311135?extraParams=%7B%22display_model_id%22%3A195745132073%7D
https://shopee.vn/Samsung-Galaxy-S25-12GB-256GB-Ch%C3%ADnh-H%C3%A3ng-i.645499489.28974311135?extraParams=%7B%22display_model_id%22%3A195745132073%7D
https://shopee.vn/Samsung-Galaxy-S25-12GB-256GB-Ch%C3%ADnh-H%C3%A3ng-i.645499489.28974311135?extraParams=%7B%22display_model_id%22%3A195745132073%7D
